baseline,crop,mae,rmse,mape
arima,Кукурудза,0.6572813281193636,0.6572813281193636,9.171573876758654
arima,Пшениця,0.3256646898608375,0.3256646898608375,7.314780496988452
arima,Соняшник,0.11235746521065397,0.11235746521065397,5.0427560726030185
forecast_linear,Кукурудза,0.8407326007325796,0.8407326007325796,12.47434887392719
forecast_linear,Пшениця,0.2720784770784788,0.2720784770784788,6.664979759195751
forecast_linear,Соняшник,0.2411266511266509,0.2411266511266509,11.070328235210992
linest_lag_only,Кукурудза,2.262378177242965,2.262378177242965,33.870616387016966
linest_lag_only,Пшениця,6.389216150549196,6.389216150549196,139.75810885882436
linest_lag_only,Соняшник,1.904762430858779,1.904762430858779,80.96223527880268
naive_lag1,Кукурудза,1.3333333333333333,1.3333333333333333,19.32406576578696
naive_lag1,Пшениця,0.45333333333333314,0.45333333333333314,10.552741443062164
naive_lag1,Соняшник,0.2866666666666666,0.2866666666666666,12.70364822789462
